DT,SODAR-100
2022-03-06 00:10:00,6.85
2022-03-06 00:20:00,6.31
2022-03-06 00:30:00,6.26
2022-03-06 00:40:00,7.08
2022-03-06 00:50:00,6.62
2022-03-06 01:00:00,6.72
2022-03-06 01:10:00,6.9
2022-03-06 01:20:00,6.83
2022-03-06 01:30:00,8.28
2022-03-06 01:40:00,6.97
2022-03-06 01:50:00,6.19
2022-03-06 02:00:00,5.69
2022-03-06 02:10:00,5.87
2022-03-06 02:20:00,6.29
2022-03-06 02:30:00,6.21
2022-03-06 02:40:00,6.96
2022-03-06 02:50:00,7.78
2022-03-06 03:00:00,8.28
2022-03-06 03:10:00,8.32
2022-03-06 03:20:00,8.18
2022-03-06 03:30:00,8.0
2022-03-06 03:40:00,7.43
2022-03-06 03:50:00,7.31
2022-03-06 04:00:00,7.0
2022-03-06 04:10:00,7.11
2022-03-06 04:20:00,6.55
2022-03-06 04:30:00,5.95
2022-03-06 04:40:00,4.8
2022-03-06 04:50:00,4.8
2022-03-06 05:00:00,7.43
2022-03-06 05:50:00,5.7
2022-03-06 06:00:00,3.67
2022-03-06 06:10:00,2.89
2022-03-06 06:20:00,3.0
2022-03-06 06:30:00,2.94
2022-03-06 06:40:00,3.73
2022-03-06 06:50:00,5.19
2022-03-06 07:00:00,3.25
2022-03-06 07:10:00,3.0
2022-03-06 07:20:00,3.71
2022-03-06 07:30:00,5.54
2022-03-06 07:50:00,7.11
2022-03-06 08:00:00,7.15
2022-03-06 08:10:00,5.85
2022-03-06 08:20:00,5.72
2022-03-06 08:30:00,6.99
2022-03-06 08:40:00,6.37
2022-03-06 08:50:00,6.66
2022-03-06 09:00:00,7.58
2022-03-06 09:10:00,7.45
2022-03-06 09:20:00,6.95
2022-03-06 09:30:00,6.5
2022-03-06 09:40:00,6.74
2022-03-06 09:50:00,6.91
2022-03-06 10:00:00,6.93
2022-03-06 10:10:00,5.35
2022-03-06 10:20:00,5.33
2022-03-06 10:30:00,5.22
2022-03-06 10:40:00,5.68
2022-03-06 10:50:00,5.08
2022-03-06 11:00:00,5.58
2022-03-06 11:10:00,5.93
2022-03-06 11:20:00,5.48
2022-03-06 11:30:00,6.45
2022-03-06 11:40:00,5.79
2022-03-06 11:50:00,7.01
2022-03-06 12:00:00,6.25
2022-03-06 12:10:00,6.65
2022-03-06 12:20:00,6.51
2022-03-06 12:30:00,5.65
2022-03-06 12:40:00,7.41
2022-03-06 12:50:00,6.52
2022-03-06 13:00:00,7.09
2022-03-06 13:10:00,8.16
2022-03-06 13:20:00,8.63
2022-03-06 13:30:00,7.92
2022-03-06 13:40:00,9.5
2022-03-06 13:50:00,8.54
2022-03-06 14:00:00,8.14
2022-03-06 14:10:00,8.98
2022-03-06 14:20:00,9.85
2022-03-06 14:40:00,5.96
2022-03-06 14:50:00,4.86
2022-03-06 15:00:00,4.13
2022-03-06 15:10:00,4.97
2022-03-06 15:20:00,4.91
2022-03-06 15:30:00,5.52
2022-03-06 15:40:00,1.82
2022-03-06 15:50:00,1.76
2022-03-06 16:00:00,1.6
2022-03-06 16:10:00,2.85
2022-03-06 16:20:00,3.25
2022-03-06 16:30:00,3.46
2022-03-06 16:40:00,3.0
2022-03-06 16:50:00,3.22
2022-03-06 17:00:00,1.97
2022-03-06 17:10:00,1.61
2022-03-06 17:20:00,1.26
2022-03-06 17:30:00,1.75
2022-03-06 17:40:00,1.23
2022-03-06 17:50:00,1.77
2022-03-06 18:00:00,1.13
2022-03-06 19:40:00,2.79
2022-03-06 19:50:00,1.6
2022-03-06 20:00:00,2.06
2022-03-06 20:10:00,1.51
2022-03-06 20:20:00,1.14
2022-03-06 20:30:00,2.32
2022-03-06 20:40:00,2.41
2022-03-06 20:50:00,2.7
2022-03-06 21:00:00,3.17
2022-03-06 21:10:00,3.53
2022-03-06 21:20:00,3.82
2022-03-06 21:30:00,3.13
2022-03-06 22:50:00,2.0
2022-03-06 23:00:00,3.0
2022-03-06 23:10:00,2.18
2022-03-07 00:00:00,0.89
2022-03-07 00:10:00,0.69
2022-03-07 00:20:00,0.15
2022-03-07 00:30:00,1.38
2022-03-07 00:40:00,1.96
2022-03-07 03:20:00,1.47
2022-03-07 03:50:00,1.69
2022-03-07 04:00:00,1.56
2022-03-07 04:10:00,1.33
2022-03-07 04:20:00,1.33
2022-03-07 04:30:00,1.89
2022-03-07 04:40:00,1.65
2022-03-07 04:50:00,1.91
2022-03-07 05:00:00,2.03
2022-03-07 05:10:00,2.44
2022-03-07 05:20:00,2.72
2022-03-07 05:30:00,2.61
2022-03-07 05:40:00,2.41
2022-03-07 05:50:00,2.16
2022-03-07 06:00:00,2.12
2022-03-07 06:10:00,1.96
2022-03-07 06:20:00,2.24
2022-03-07 06:30:00,2.09
2022-03-07 06:40:00,1.99
2022-03-07 06:50:00,1.31
2022-03-07 07:00:00,1.69
2022-03-07 07:10:00,1.86
2022-03-07 07:20:00,2.14
2022-03-07 07:50:00,2.64
2022-03-07 08:00:00,2.8
2022-03-07 08:10:00,2.83
2022-03-07 08:20:00,3.05
2022-03-07 08:30:00,2.03
2022-03-07 08:40:00,1.92
2022-03-07 08:50:00,1.68
2022-03-07 09:00:00,2.61
2022-03-07 09:10:00,1.61
2022-03-07 09:20:00,2.04
2022-03-07 09:30:00,1.61
2022-03-07 09:40:00,1.55
2022-03-07 09:50:00,1.1
2022-03-07 10:00:00,1.54
2022-03-07 10:10:00,1.99
2022-03-07 10:20:00,1.46
2022-03-07 10:30:00,2.47
2022-03-07 10:40:00,1.7
2022-03-07 10:50:00,1.37
2022-03-07 11:00:00,1.87
2022-03-07 11:10:00,2.09
2022-03-07 11:20:00,2.37
2022-03-07 11:30:00,2.0
2022-03-07 11:40:00,1.75
2022-03-07 11:50:00,1.8
2022-03-07 12:00:00,1.75
2022-03-07 12:10:00,1.52
2022-03-07 12:20:00,1.15
2022-03-07 12:30:00,0.88
2022-03-07 12:40:00,0.68
2022-03-07 12:50:00,1.33
2022-03-07 13:00:00,2.29
2022-03-07 13:10:00,2.2
2022-03-07 13:20:00,3.2
2022-03-07 13:30:00,2.18
2022-03-07 13:40:00,2.09
2022-03-07 13:50:00,2.14
2022-03-07 14:00:00,2.36
2022-03-07 14:10:00,2.57
2022-03-07 14:20:00,2.72
2022-03-07 14:30:00,3.49
2022-03-07 14:40:00,3.44
2022-03-07 14:50:00,3.35
2022-03-07 15:00:00,3.26
2022-03-07 15:10:00,3.48
2022-03-07 15:20:00,3.58
2022-03-07 15:30:00,3.66
2022-03-07 15:40:00,3.84
2022-03-07 15:50:00,3.54
2022-03-07 16:00:00,3.34
2022-03-07 16:10:00,3.31
2022-03-07 16:20:00,3.81
2022-03-07 16:30:00,4.23
2022-03-07 16:40:00,4.29
2022-03-07 16:50:00,4.48
2022-03-07 17:00:00,4.48
2022-03-07 17:10:00,4.6
2022-03-07 17:20:00,4.86
2022-03-07 17:30:00,4.19
2022-03-07 17:50:00,4.35
2022-03-07 18:00:00,4.93
2022-03-07 18:10:00,6.04
2022-03-07 18:20:00,4.96
2022-03-07 18:30:00,5.39
2022-03-07 18:40:00,5.18
2022-03-07 18:50:00,5.82
2022-03-07 19:00:00,5.68
2022-03-07 19:20:00,6.07
2022-03-07 19:30:00,6.25
2022-03-07 19:40:00,4.97
2022-03-07 19:50:00,5.06
2022-03-07 20:00:00,5.35
2022-03-07 20:10:00,5.22
2022-03-07 20:20:00,6.08
2022-03-07 20:30:00,4.82
2022-03-07 20:40:00,4.52
2022-03-07 20:50:00,4.29
2022-03-07 21:00:00,4.05
2022-03-07 21:10:00,4.11
2022-03-07 21:20:00,4.26
2022-03-07 21:30:00,3.94
2022-03-07 21:40:00,3.62
2022-03-07 21:50:00,3.97
2022-03-07 22:00:00,3.33
2022-03-07 22:10:00,3.71
2022-03-07 22:20:00,4.35
2022-03-07 22:30:00,4.12
2022-03-07 22:40:00,3.62
2022-03-07 22:50:00,3.34
2022-03-07 23:00:00,3.72
2022-03-07 23:10:00,3.93
2022-03-07 23:20:00,3.85
2022-03-07 23:30:00,4.24
2022-03-07 23:40:00,4.41
2022-03-07 23:50:00,4.31
2022-03-08 00:00:00,4.05
2022-03-08 00:10:00,4.39
2022-03-08 00:20:00,4.08
2022-03-08 00:30:00,4.2
2022-03-08 00:40:00,4.14
2022-03-08 00:50:00,3.9
2022-03-08 01:00:00,4.4
2022-03-08 01:10:00,4.48
2022-03-08 01:20:00,3.76
2022-03-08 01:30:00,3.83
2022-03-08 01:40:00,4.27
2022-03-08 01:50:00,4.37
2022-03-08 02:00:00,4.09
2022-03-08 02:10:00,4.05
2022-03-08 02:20:00,3.83
2022-03-08 02:30:00,3.91
2022-03-08 02:40:00,3.69
2022-03-08 02:50:00,3.22
2022-03-08 03:00:00,3.15
2022-03-08 03:10:00,3.56
2022-03-08 03:20:00,3.48
2022-03-08 03:30:00,3.34
2022-03-08 03:40:00,3.33
2022-03-08 03:50:00,3.19
2022-03-08 04:00:00,3.74
2022-03-08 04:10:00,4.19
2022-03-08 04:20:00,4.78
2022-03-08 04:30:00,4.98
2022-03-08 04:40:00,4.17
2022-03-08 04:50:00,3.95
2022-03-08 05:00:00,4.29
2022-03-08 05:10:00,4.79
2022-03-08 05:20:00,5.57
2022-03-08 05:30:00,5.08
2022-03-08 05:40:00,4.83
2022-03-08 05:50:00,5.48
2022-03-08 06:00:00,6.14
2022-03-08 06:10:00,6.61
2022-03-08 06:20:00,6.48
2022-03-08 06:30:00,7.34
2022-03-08 06:40:00,7.35
2022-03-08 06:50:00,6.3
2022-03-08 07:00:00,6.1
2022-03-08 07:10:00,6.24
2022-03-08 07:20:00,6.8
2022-03-08 07:30:00,7.05
2022-03-08 07:40:00,6.79
2022-03-08 07:50:00,5.86
2022-03-08 08:00:00,5.71
2022-03-08 08:10:00,5.53
2022-03-08 08:20:00,5.98
2022-03-08 08:30:00,5.71
2022-03-08 08:40:00,5.12
2022-03-08 08:50:00,6.09
2022-03-08 09:00:00,5.59
2022-03-08 09:10:00,6.09
2022-03-08 09:20:00,5.24
2022-03-08 09:30:00,5.91
2022-03-08 09:40:00,6.54
2022-03-08 09:50:00,6.55
2022-03-08 10:00:00,6.56
2022-03-08 10:10:00,7.85
2022-03-08 10:20:00,7.51
2022-03-08 10:30:00,6.88
2022-03-08 10:40:00,7.2
2022-03-08 10:50:00,5.72
2022-03-08 11:00:00,5.71
2022-03-08 11:10:00,6.52
2022-03-08 11:20:00,6.25
2022-03-08 11:30:00,6.36
2022-03-08 11:40:00,6.73
