DT,SODAR-100
2022-03-15 15:20:00,8.35
2022-03-15 15:30:00,9.48
2022-03-15 15:40:00,8.07
2022-03-15 15:50:00,7.92
2022-03-15 16:00:00,7.89
2022-03-15 16:10:00,8.46
2022-03-15 16:20:00,8.16
2022-03-15 16:30:00,8.57
2022-03-15 16:40:00,6.92
2022-03-15 16:50:00,7.69
2022-03-15 17:00:00,7.39
2022-03-15 17:10:00,6.43
2022-03-15 17:20:00,6.68
2022-03-15 17:30:00,4.35
2022-03-15 17:40:00,1.72
2022-03-15 17:50:00,2.1
2022-03-15 18:00:00,3.98
2022-03-15 18:40:00,7.51
2022-03-15 19:10:00,3.88
2022-03-15 19:20:00,6.71
2022-03-15 20:40:00,5.48
2022-03-15 20:50:00,5.86
2022-03-15 21:00:00,6.76
2022-03-15 21:10:00,5.19
2022-03-15 23:00:00,6.67
2022-03-15 23:10:00,6.85
2022-03-15 23:20:00,5.92
2022-03-15 23:30:00,4.3
2022-03-15 23:40:00,7.55
